date,precipitation,windSpeed
4/11/2018,0.4,28.3
5/11/2018,0.4,35.1
6/11/2018,0,34.5
7/11/2018,0,29
8/11/2018,0.4,11.9
9/11/2018,0,28.4
10/11/2018,0.4,45.2
11/11/2018,0,26.2
12/11/2018,0.4,10.3
13/11/2018,0.4,29.8
14/11/2018,0.4,40.7
15/11/2018,0.4,40.8
16/11/2018,1.1,29.1
17/11/2018,0.5,35.3
18/11/2018,0,24.4
19/11/2018,0,21.5
20/11/2018,0.1,36.1
21/11/2018,2.4,22
22/11/2018,0.2,34.5
23/11/2018,0.4,22.3
24/11/2018,0.4,32.1
25/11/2018,21,24.6
26/11/2018,15.7,22.7
27/11/2018,16.3,25.9
28/11/2018,7.7,30.8
29/11/2018,0.4,30.3
30/11/2018,0,32.1
1/12/2018,0,27.7
2/12/2018,0,21.5
3/12/2018,0,15
4/12/2018,0,10.5
5/12/2018,0.4,35.1
6/12/2018,0.1,25.2
7/12/2018,1,34.3
8/12/2018,0,29.6
9/12/2018,0.4,24.9
10/12/2018,0.2,21.4
11/12/2018,0.4,29.7
12/12/2018,0,33.6
13/12/2018,0,28
14/12/2018,0,25.6
15/12/2018,0,22.6
16/12/2018,0.4,20.5
17/12/2018,0,22.8
18/12/2018,0,27.9
19/12/2018,0,31.5
20/12/2018,0,16.9
21/12/2018,0,21.2
22/12/2018,0,21.9
23/12/2018,10.5,27.9
24/12/2018,0.1,27.8
25/12/2018,0,25.8
26/12/2018,0,5.9
27/12/2018,0.4,27.2
28/12/2018,0.4,34.8
29/12/2018,0.4,40.3
30/12/2018,0.4,37.7
31/12/2018,0,26.8
